 ion    logN  err_logN  z           err_z      vhel       err_vhel b       err_b
   CIV  13.16   0.24   -0.000109    0.000014    -32.68      4.20   12.43    9.35
   CIV  14.12   0.04    0.000119    0.000014     35.68      4.20   57.44    6.00
   CIV  12.79   0.87    0.000659    0.000023    197.56      6.90    2.70   19.87
   CIV  13.61   0.06    0.000904    0.000017    271.01      5.10   40.42    7.85
# Bestfit Chi2 = 237.20, DOF = 313, reduced chi2 = 0.76
# Recorded date: 2022/04/21. YZ.
