wave,Comp_v_-33.3,Comp_v_32.1,Comp_v_272.8
1385.5302000000386,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.5352000000387,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.5402000000388,1.000002384185791,1.000002384185791,1.000002384185791
1385.545200000039,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.550200000039,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.5552000000391,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.5602000000392,1.000002384185791,1.000002384185791,1.000002384185791
1385.5652000000393,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.5702000000394,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.5752000000396,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.5802000000397,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.5852000000398,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.5902000000399,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.59520000004,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.60020000004,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.6052000000402,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.6102000000403,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.6152000000404,1.0000027418136597,1.0000026226043701,1.0000027418136597
1385.6202000000405,1.000002384185791,1.000002384185791,1.000002384185791
1385.6252000000406,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.6302000000408,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.6352000000409,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.640200000041,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.645200000041,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.6502000000412,1.000002384185791,1.000002384185791,1.000002384185791
1385.6552000000413,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.6602000000414,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.6652000000415,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.6702000000416,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.6752000000417,1.000002384185791,1.000002384185791,1.000002384185791
1385.6802000000419,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.685200000042,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.690200000042,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.6952000000422,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.7002000000423,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.7052000000424,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.7102000000425,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.7152000000426,1.0000027418136597,1.0000026226043701,1.0000027418136597
1385.7202000000427,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.7252000000428,1.0000027418136597,1.0000026226043701,1.0000027418136597
1385.730200000043,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.735200000043,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.7402000000432,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.7452000000433,1.000002384185791,1.000002384185791,1.000002384185791
1385.7502000000434,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.7552000000435,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.7602000000436,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.7652000000437,1.000002384185791,1.0000022649765015,1.000002384185791
1385.7702000000438,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.775200000044,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.780200000044,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.7852000000441,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.7902000000443,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.7952000000444,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.8002000000445,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.8052000000446,1.0000027418136597,1.0000027418136597,1.0000027418136597
1385.8102000000447,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.8152000000448,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.820200000045,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.825200000045,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.8302000000451,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.8352000000452,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.8402000000453,1.000002384185791,1.000002384185791,1.000002384185791
1385.8452000000455,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.8502000000456,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.8552000000457,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.8602000000458,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.865200000046,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.870200000046,1.0000027418136597,1.0000025033950806,1.0000027418136597
1385.875200000046,1.000002384185791,1.000002384185791,1.000002384185791
1385.8802000000462,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.8852000000463,1.0000027418136597,1.0000026226043701,1.0000027418136597
1385.8902000000464,1.000002384185791,1.000002384185791,1.000002384185791
1385.8952000000465,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.9002000000467,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.9052000000468,1.0000026226043701,1.000002384185791,1.0000026226043701
1385.9102000000469,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.915200000047,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.920200000047,1.0000026226043701,1.0000026226043701,1.0000026226043701
1385.9252000000472,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.9302000000473,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.9352000000474,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.9402000000475,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.9452000000476,1.0000025033950806,1.0000025033950806,1.0000025033950806
1385.9502000000477,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.9552000000479,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.960200000048,1.0000025033950806,1.000002384185791,1.0000025033950806
1385.965200000048,1.0000026226043701,1.0000025033950806,1.0000026226043701
1385.9702000000482,1.0000025033950806,1.000002384185791,1.0000025033950806
