# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1181.6208  -2214.91    1.0314    0.1247  8.2970e-15  1.0029e-15  8.0443e-15
1181.6508  -2207.37    1.0188    0.1241  8.1988e-15  9.9864e-16  8.0474e-15
1181.6807  -2199.84    0.7541    0.1069  6.0708e-15  8.6046e-16  8.0506e-15
1181.7106  -2192.31    1.1791    0.1329  9.4963e-15  1.0700e-15  8.0537e-15
1181.7405  -2184.78    1.0778    0.1274  8.6838e-15  1.0266e-15  8.0569e-15
1181.7704  -2177.24    0.9237    0.1182  7.4448e-15  9.5299e-16  8.0601e-15
1181.8003  -2169.71    1.1103    0.1292  8.9523e-15  1.0420e-15  8.0632e-15
1181.8302  -2162.18    1.0534    0.1260  8.4969e-15  1.0164e-15  8.0664e-15
1181.8601  -2154.65    0.7696    0.1079  6.2107e-15  8.7032e-16  8.0696e-15
1181.8900  -2147.11    0.9101    0.1171  7.3468e-15  9.4554e-16  8.0728e-15
1181.9199  -2139.58    1.0543    0.1260  8.5144e-15  1.0178e-15  8.0760e-15
1181.9499  -2132.05    0.9745    0.1211  7.8727e-15  9.7867e-16  8.0791e-15
1181.9798  -2124.52    1.0698    0.1265  8.6463e-15  1.0223e-15  8.0823e-15
1182.0097  -2116.98    0.8821    0.1154  7.1320e-15  9.3313e-16  8.0855e-15
1182.0396  -2109.45    0.9200    0.1177  7.4420e-15  9.5170e-16  8.0887e-15
1182.0695  -2101.92    0.8904    0.1157  7.2049e-15  9.3639e-16  8.0919e-15
1182.0994  -2094.39    1.0805    0.1274  8.7469e-15  1.0314e-15  8.0951e-15
1182.1293  -2086.85    0.9271    0.1180  7.5082e-15  9.5599e-16  8.0983e-15
1182.1592  -2079.32    0.9529    0.1197  7.7200e-15  9.6996e-16  8.1015e-15
1182.1891  -2071.79    1.0218    0.1238  8.2815e-15  1.0034e-15  8.1047e-15
1182.2190  -2064.26    1.0616    0.1261  8.6072e-15  1.0221e-15  8.1079e-15
1182.2490  -2056.72    1.0879    0.1275  8.8239e-15  1.0344e-15  8.1112e-15
1182.2789  -2049.19    0.8546    0.1133  6.9349e-15  9.1953e-16  8.1144e-15
1182.3088  -2041.66    0.8647    0.1139  7.0190e-15  9.2465e-16  8.1176e-15
1182.3387  -2034.13    0.8774    0.1147  7.1248e-15  9.3172e-16  8.1208e-15
1182.3686  -2026.59    0.7424    0.1059  6.0316e-15  8.6030e-16  8.1240e-15
1182.3985  -2019.06    0.7793    0.1082  6.3334e-15  8.7939e-16  8.1273e-15
1182.4284  -2011.53    0.9280    0.1178  7.5448e-15  9.5804e-16  8.1305e-15
1182.4583  -2004.00    0.9984    0.1220  8.1203e-15  9.9248e-16  8.1337e-15
1182.4882  -1996.46    0.9159    0.1171  7.4523e-15  9.5285e-16  8.1370e-15
1182.5181  -1988.93    0.8585    0.1134  6.9880e-15  9.2317e-16  8.1402e-15
1182.5481  -1981.40    1.0111    0.1228  8.2336e-15  9.9997e-16  8.1434e-15
1182.5780  -1973.87    0.8772    0.1146  7.1460e-15  9.3357e-16  8.1467e-15
1182.6079  -1966.33    0.9889    0.1215  8.0598e-15  9.9044e-16  8.1499e-15
1182.6378  -1958.80    0.8090    0.1101  6.5960e-15  8.9762e-16  8.1532e-15
1182.6677  -1951.27    0.7858    0.1085  6.4089e-15  8.8497e-16  8.1564e-15
1182.6976  -1943.74    0.6269    0.0972  5.1150e-15  7.9348e-16  8.1597e-15
1182.7275  -1936.20    0.7397    0.1054  6.0380e-15  8.6015e-16  8.1629e-15
1182.7574  -1928.67    0.7601    0.1068  6.2069e-15  8.7190e-16  8.1662e-15
1182.7873  -1921.14    0.7345    0.1050  6.0001e-15  8.5793e-16  8.1694e-15
1182.8172  -1913.61    0.5724    0.0930  4.6777e-15  7.6014e-16  8.1727e-15
1182.8472  -1906.07    0.7341    0.1050  6.0022e-15  8.5808e-16  8.1760e-15
1182.8771  -1898.54    0.7349    0.1049  6.0113e-15  8.5812e-16  8.1792e-15
1182.9070  -1891.01    0.8234    0.1109  6.7372e-15  9.0746e-16  8.1825e-15
1182.9369  -1883.48    0.6177    0.0965  5.0562e-15  7.8972e-16  8.1858e-15
1182.9668  -1875.94    0.7994    0.1093  6.5462e-15  8.9470e-16  8.1890e-15
1182.9967  -1868.41    0.7620    0.1067  6.2422e-15  8.7402e-16  8.1923e-15
1183.0266  -1860.88    0.6014    0.0972  4.9289e-15  7.9702e-16  8.1956e-15
1183.0565  -1853.35    0.7379    0.1371  6.0498e-15  1.1243e-15  8.1989e-15
1183.0864  -1845.81    0.7991    0.1466  6.5543e-15  1.2022e-15  8.2022e-15
1183.1163  -1838.28    0.8559    0.1459  7.0228e-15  1.1973e-15  8.2054e-15
1183.1463  -1830.75    1.0397    0.1659  8.5347e-15  1.3619e-15  8.2087e-15
1183.1762  -1823.22    1.1044    0.1654  9.0696e-15  1.3585e-15  8.2120e-15
1183.2061  -1815.68    1.0098    0.1595  8.2958e-15  1.3106e-15  8.2153e-15
1183.2360  -1808.15    0.9631    0.1617  7.9156e-15  1.3287e-15  8.2186e-15
1183.2659  -1800.62    0.9018    0.1530  7.4141e-15  1.2576e-15  8.2219e-15
1183.2958  -1793.09    0.9724    0.1641  7.9983e-15  1.3502e-15  8.2252e-15
1183.3257  -1785.55    0.9790    0.1601  8.0560e-15  1.3175e-15  8.2285e-15
