# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1250.1529  -2229.11    0.9376    0.0952  2.4960e-15  2.5335e-16  2.6623e-15
1250.1828  -2221.99    0.8364    0.0900  2.2271e-15  2.3960e-16  2.6627e-15
1250.2127  -2214.87    0.9112    0.0938  2.4267e-15  2.4986e-16  2.6632e-15
1250.2426  -2207.75    0.9654    0.0965  2.5714e-15  2.5702e-16  2.6636e-15
1250.2725  -2200.63    0.8528    0.0908  2.2720e-15  2.4189e-16  2.6641e-15
1250.3024  -2193.51    0.9252    0.0945  2.4651e-15  2.5173e-16  2.6645e-15
1250.3323  -2186.39    1.0289    0.0995  2.7421e-15  2.6519e-16  2.6650e-15
1250.3622  -2179.27    0.6515    0.0796  1.7366e-15  2.1207e-16  2.6655e-15
1250.3921  -2172.15    0.7664    0.0861  2.0432e-15  2.2956e-16  2.6660e-15
1250.4221  -2165.03    0.6650    0.0803  1.7732e-15  2.1417e-16  2.6666e-15
1250.4520  -2157.91    0.6939    0.0820  1.8507e-15  2.1875e-16  2.6671e-15
1250.4819  -2150.79    0.6391    0.0788  1.7048e-15  2.1021e-16  2.6676e-15
1250.5118  -2143.67    0.5966    0.0762  1.5918e-15  2.0339e-16  2.6682e-15
1250.5417  -2136.56    0.6748    0.0809  1.8009e-15  2.1599e-16  2.6688e-15
1250.5716  -2129.44    0.8591    0.0910  2.2933e-15  2.4304e-16  2.6694e-15
1250.6015  -2122.32    0.9656    0.0964  2.5780e-15  2.5734e-16  2.6700e-15
1250.6314  -2115.20    0.9248    0.0944  2.4698e-15  2.5200e-16  2.6706e-15
1250.6613  -2108.08    0.9443    0.0953  2.5225e-15  2.5453e-16  2.6712e-15
1250.6912  -2100.96    0.8063    0.0882  2.1542e-15  2.3573e-16  2.6718e-15
1250.7212  -2093.84    0.8196    0.0890  2.1904e-15  2.3772e-16  2.6725e-15
1250.7511  -2086.72    0.9046    0.0933  2.4181e-15  2.4951e-16  2.6731e-15
1250.7810  -2079.60    0.9922    0.0976  2.6529e-15  2.6105e-16  2.6738e-15
1250.8109  -2072.48    1.0071    0.0984  2.6934e-15  2.6306e-16  2.6745e-15
1250.8408  -2065.36    0.9711    0.0966  2.5978e-15  2.5846e-16  2.6752e-15
1250.8707  -2058.24    1.1310    0.1041  3.0266e-15  2.7854e-16  2.6759e-15
1250.9006  -2051.12    1.0136    0.0986  2.7130e-15  2.6401e-16  2.6766e-15
1250.9305  -2044.01    0.7401    0.0846  1.9816e-15  2.2641e-16  2.6773e-15
1250.9604  -2036.89    0.8859    0.0923  2.3726e-15  2.4714e-16  2.6781e-15
1250.9903  -2029.77    0.9377    0.0948  2.5118e-15  2.5408e-16  2.6788e-15
1251.0203  -2022.65    0.7651    0.0859  2.0502e-15  2.3016e-16  2.6796e-15
1251.0502  -2015.53    0.9527    0.0956  2.5536e-15  2.5621e-16  2.6804e-15
1251.0801  -2008.41    0.8645    0.0911  2.3178e-15  2.4427e-16  2.6812e-15
1251.1100  -2001.29    0.8983    0.0928  2.4093e-15  2.4892e-16  2.6820e-15
1251.1399  -1994.17    0.9574    0.0957  2.5685e-15  2.5683e-16  2.6828e-15
1251.1698  -1987.05    1.1885    0.1064  3.1893e-15  2.8565e-16  2.6836e-15
1251.1997  -1979.93    1.0885    0.1019  2.9219e-15  2.7364e-16  2.6844e-15
1251.2296  -1972.81    1.1328    0.1039  3.0419e-15  2.7912e-16  2.6852e-15
1251.2595  -1965.69    0.9197    0.0939  2.4704e-15  2.5211e-16  2.6861e-15
1251.2894  -1958.57    1.1069    0.1028  2.9741e-15  2.7609e-16  2.6870e-15
1251.3194  -1951.46    0.8651    0.0910  2.3252e-15  2.4470e-16  2.6878e-15
1251.3493  -1944.34    1.2983    0.1111  3.4909e-15  2.9870e-16  2.6887e-15
1251.3792  -1937.22    1.0191    0.0986  2.7409e-15  2.6517e-16  2.6896e-15
1251.4091  -1930.10    1.2129    0.1074  3.2634e-15  2.8887e-16  2.6905e-15
1251.4390  -1922.98    1.0900    0.1018  2.9337e-15  2.7410e-16  2.6914e-15
1251.4689  -1915.86    0.9315    0.0943  2.5079e-15  2.5376e-16  2.6924e-15
1251.4988  -1908.74    1.2474    0.1088  3.3596e-15  2.9294e-16  2.6933e-15
1251.5287  -1901.62    1.1062    0.1025  2.9803e-15  2.7615e-16  2.6943e-15
1251.5586  -1894.50    1.1764    0.1056  3.1708e-15  2.8460e-16  2.6952e-15
1251.5885  -1887.38    0.9876    0.0969  2.6627e-15  2.6124e-16  2.6962e-15
1251.6185  -1880.26    1.0278    0.0988  2.7722e-15  2.6643e-16  2.6972e-15
1251.6484  -1873.14    1.0243    0.0986  2.7636e-15  2.6604e-16  2.6981e-15
1251.6783  -1866.02    0.9722    0.0961  2.6241e-15  2.5938e-16  2.6991e-15
1251.7082  -1858.91    1.1086    0.1025  2.9933e-15  2.7667e-16  2.7002e-15
1251.7381  -1851.79    1.0255    0.0986  2.7700e-15  2.6634e-16  2.7012e-15
1251.7680  -1844.67    0.8695    0.0909  2.3495e-15  2.4569e-16  2.7022e-15
1251.7979  -1837.55    1.0016    0.0974  2.7076e-15  2.6343e-16  2.7032e-15
