# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1133.8030  -2471.04    1.0702    0.1807  3.9638e-15  6.6928e-16  3.7036e-15
1133.8329  -2463.20    1.3750    0.2039  5.0930e-15  7.5539e-16  3.7041e-15
1133.8628  -2455.35    0.7068    0.1481  2.6184e-15  5.4856e-16  3.7045e-15
1133.8927  -2447.51    0.6898    0.1463  2.5557e-15  5.4208e-16  3.7049e-15
1133.9226  -2439.67    0.7026    0.1475  2.6034e-15  5.4639e-16  3.7053e-15
1133.9525  -2431.82    0.5488    0.1311  2.0336e-15  4.8593e-16  3.7057e-15
1133.9824  -2423.98    0.4372    0.1180  1.6205e-15  4.3737e-16  3.7060e-15
1134.0123  -2416.14    0.3085    0.1008  1.1434e-15  3.7374e-16  3.7064e-15
1134.0422  -2408.29    0.2292    0.0887  8.4971e-16  3.2865e-16  3.7068e-15
1134.0722  -2400.45    0.3298    0.1040  1.2226e-15  3.8558e-16  3.7072e-15
1134.1021  -2392.60    0.3028    0.1001  1.1225e-15  3.7122e-16  3.7076e-15
1134.1320  -2384.76    0.2761    0.0961  1.0236e-15  3.5615e-16  3.7079e-15
1134.1619  -2376.92    0.3853    0.1114  1.4288e-15  4.1327e-16  3.7083e-15
1134.1918  -2369.07    0.3268    0.1034  1.2121e-15  3.8344e-16  3.7086e-15
1134.2217  -2361.23    0.3070    0.1006  1.1386e-15  3.7307e-16  3.7090e-15
1134.2516  -2353.39    0.3213    0.1028  1.1916e-15  3.8126e-16  3.7093e-15
1134.2815  -2345.54    0.2994    0.1000  1.1108e-15  3.7110e-16  3.7097e-15
1134.3114  -2337.70    0.1442    0.1060  5.3498e-16  3.9321e-16  3.7100e-15
1134.3413  -2329.86    0.4295    0.2342  1.5934e-15  8.6904e-16  3.7103e-15
1134.3713  -2322.01    0.6361    0.2806  2.3602e-15  1.0413e-15  3.7107e-15
1134.4012  -2314.17    0.6855    0.2906  2.5438e-15  1.0784e-15  3.7110e-15
1134.4311  -2306.33    1.1076    0.3653  4.1107e-15  1.3556e-15  3.7113e-15
1134.4610  -2298.48    0.9366    0.3369  3.4761e-15  1.2503e-15  3.7116e-15
1134.4909  -2290.64    1.1468    0.3715  4.2568e-15  1.3789e-15  3.7119e-15
1134.5208  -2282.80    1.1258    0.3682  4.1793e-15  1.3667e-15  3.7122e-15
1134.5507  -2274.95    0.7683    0.3067  2.8523e-15  1.1387e-15  3.7125e-15
1134.5806  -2267.11    0.9280    0.3352  3.4455e-15  1.2446e-15  3.7128e-15
1134.6105  -2259.27    1.4944    0.4214  5.5489e-15  1.5647e-15  3.7131e-15
1134.6404  -2251.42    0.7019    0.2930  2.6064e-15  1.0882e-15  3.7134e-15
1134.6704  -2243.58    1.0268    0.3510  3.8132e-15  1.3036e-15  3.7136e-15
1134.7003  -2235.74    0.8227    0.3157  3.0555e-15  1.1724e-15  3.7139e-15
1134.7302  -2227.89    0.9179    0.3325  3.4092e-15  1.2350e-15  3.7142e-15
1134.7601  -2220.05    0.5617    0.2639  2.0864e-15  9.8034e-16  3.7144e-15
1134.7900  -2212.21    0.2898    0.1957  1.0766e-15  7.2687e-16  3.7147e-15
1134.8199  -2204.36    0.3664    0.2166  1.3611e-15  8.0462e-16  3.7149e-15
1134.8498  -2196.52    0.6399    0.2799  2.3773e-15  1.0400e-15  3.7152e-15
1134.8797  -2188.68    0.1407    0.1443  5.2280e-16  5.3622e-16  3.7154e-15
1134.9096  -2180.83    0.2711    0.1891  1.0075e-15  7.0252e-16  3.7156e-15
1134.9395  -2172.99    0.6850    0.1786  2.5454e-15  6.6372e-16  3.7159e-15
1134.9695  -2165.15    0.5264    0.1275  1.9560e-15  4.7374e-16  3.7161e-15
1134.9994  -2157.30    0.7628    0.1516  2.8347e-15  5.6355e-16  3.7163e-15
1135.0293  -2149.46    0.7536    0.1506  2.8007e-15  5.5966e-16  3.7165e-15
1135.0592  -2141.62    0.8283    0.1574  3.0786e-15  5.8509e-16  3.7167e-15
1135.0891  -2133.77    0.8382    0.1582  3.1155e-15  5.8817e-16  3.7169e-15
1135.1190  -2125.93    1.1589    0.1848  4.3078e-15  6.8700e-16  3.7171e-15
1135.1489  -2118.09    0.9819    0.1706  3.6499e-15  6.3418e-16  3.7173e-15
1135.1788  -2110.24    1.1843    0.1867  4.4024e-15  6.9402e-16  3.7174e-15
1135.2087  -2102.40    1.2847    0.1941  4.7762e-15  7.2171e-16  3.7176e-15
1135.2386  -2094.56    1.1334    0.1826  4.2138e-15  6.7882e-16  3.7178e-15
1135.2686  -2086.71    0.9028    0.1635  3.3565e-15  6.0791e-16  3.7179e-15
1135.2985  -2078.87    1.1068    0.1803  4.1150e-15  6.7029e-16  3.7181e-15
1135.3284  -2071.03    1.1476    0.1834  4.2670e-15  6.8199e-16  3.7182e-15
1135.3583  -2063.18    0.8738    0.1886  3.2490e-15  7.0137e-16  3.7184e-15
1135.3882  -2055.34    0.8089    0.1102  3.0079e-15  4.0971e-16  3.7185e-15
1135.4181  -2047.49    0.9180    0.1171  3.4138e-15  4.3557e-16  3.7186e-15
1135.4480  -2039.65    0.8995    0.1159  3.3452e-15  4.3099e-16  3.7188e-15
1135.4779  -2031.81    0.9228    0.1174  3.4318e-15  4.3652e-16  3.7189e-15
