# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1181.0309  -2363.49    1.0309    0.1141  3.0324e-15  3.3559e-16  2.9414e-15
1181.0608  -2355.96    0.9355    0.1088  2.7511e-15  3.1999e-16  2.9408e-15
1181.0907  -2348.43    1.0660    0.1160  3.1342e-15  3.4097e-16  2.9402e-15
1181.1206  -2340.89    0.9688    0.1107  2.8478e-15  3.2534e-16  2.9396e-15
1181.1505  -2333.36    1.0473    0.1150  3.0782e-15  3.3789e-16  2.9390e-15
1181.1804  -2325.83    0.9467    0.1094  2.7817e-15  3.2156e-16  2.9384e-15
1181.2103  -2318.30    0.9663    0.1105  2.8387e-15  3.2478e-16  2.9378e-15
1181.2402  -2310.76    0.8126    0.1017  2.3869e-15  2.9857e-16  2.9372e-15
1181.2701  -2303.23    0.9289    0.1084  2.7279e-15  3.1847e-16  2.9366e-15
1181.3000  -2295.70    1.0003    0.1124  2.9369e-15  3.3006e-16  2.9361e-15
1181.3300  -2288.17    0.8495    0.1038  2.4938e-15  3.0473e-16  2.9355e-15
1181.3599  -2280.63    0.9275    0.1083  2.7222e-15  3.1796e-16  2.9349e-15
1181.3898  -2273.10    0.9871    0.1117  2.8963e-15  3.2765e-16  2.9343e-15
1181.4197  -2265.57    1.0369    0.1143  3.0418e-15  3.3546e-16  2.9337e-15
1181.4496  -2258.04    0.9607    0.1101  2.8177e-15  3.2305e-16  2.9331e-15
1181.4795  -2250.50    1.0442    0.1147  3.0623e-15  3.3644e-16  2.9326e-15
1181.5094  -2242.97    1.0637    0.1158  3.1186e-15  3.3944e-16  2.9320e-15
1181.5393  -2235.44    0.9667    0.1105  2.8338e-15  3.2391e-16  2.9314e-15
1181.5692  -2227.91    0.8993    0.1067  2.6356e-15  3.1268e-16  2.9308e-15
1181.5991  -2220.37    0.9554    0.1099  2.7997e-15  3.2191e-16  2.9302e-15
1181.6291  -2212.84    0.9637    0.1103  2.8235e-15  3.2323e-16  2.9297e-15
1181.6590  -2205.31    0.9706    0.1107  2.8430e-15  3.2420e-16  2.9291e-15
1181.6889  -2197.78    0.9298    0.1084  2.7229e-15  3.1738e-16  2.9285e-15
1181.7188  -2190.24    0.9253    0.1081  2.7093e-15  3.1657e-16  2.9280e-15
1181.7487  -2182.71    0.7903    0.1001  2.3135e-15  2.9306e-16  2.9274e-15
1181.7786  -2175.18    1.0314    0.1139  3.0187e-15  3.3349e-16  2.9268e-15
1181.8085  -2167.65    0.9004    0.1066  2.6348e-15  3.1204e-16  2.9263e-15
1181.8384  -2160.11    1.0432    0.1146  3.0521e-15  3.3521e-16  2.9257e-15
1181.8683  -2152.58    1.0778    0.1164  3.1528e-15  3.4055e-16  2.9251e-15
1181.8982  -2145.05    0.8079    0.1011  2.3628e-15  2.9578e-16  2.9246e-15
1181.9282  -2137.52    0.8706    0.1049  2.5456e-15  3.0665e-16  2.9240e-15
1181.9581  -2129.98    0.9105    0.1072  2.6618e-15  3.1334e-16  2.9235e-15
1181.9880  -2122.45    0.7676    0.0986  2.2436e-15  2.8819e-16  2.9229e-15
1182.0179  -2114.92    0.8723    0.1049  2.5493e-15  3.0657e-16  2.9224e-15
1182.0478  -2107.39    1.0166    0.1130  2.9702e-15  3.3029e-16  2.9218e-15
1182.0777  -2099.85    0.9410    0.1089  2.7488e-15  3.1802e-16  2.9213e-15
1182.1076  -2092.32    0.8591    0.1041  2.5093e-15  3.0414e-16  2.9207e-15
1182.1375  -2084.79    0.9202    0.1077  2.6872e-15  3.1441e-16  2.9202e-15
1182.1674  -2077.26    0.8690    0.1047  2.5372e-15  3.0564e-16  2.9196e-15
1182.1973  -2069.72    1.1015    0.1175  3.2155e-15  3.4309e-16  2.9191e-15
1182.2273  -2062.19    0.9379    0.1086  2.7372e-15  3.1695e-16  2.9185e-15
1182.2572  -2054.66    0.9941    0.1117  2.9007e-15  3.2604e-16  2.9180e-15
1182.2871  -2047.13    0.9961    0.1118  2.9061e-15  3.2631e-16  2.9175e-15
1182.3170  -2039.59    1.0525    0.1149  3.0700e-15  3.3526e-16  2.9169e-15
1182.3469  -2032.06    0.9043    0.1067  2.6373e-15  3.1129e-16  2.9164e-15
1182.3768  -2024.53    0.8723    0.1048  2.5435e-15  3.0572e-16  2.9158e-15
1182.4067  -2017.00    1.0397    0.1142  3.0310e-15  3.3307e-16  2.9153e-15
1182.4366  -2009.46    0.9308    0.1083  2.7132e-15  3.1558e-16  2.9148e-15
1182.4665  -2001.93    0.9982    0.1120  2.9091e-15  3.2644e-16  2.9143e-15
1182.4964  -1994.40    1.0557    0.1151  3.0759e-15  3.3536e-16  2.9137e-15
1182.5264  -1986.87    0.9676    0.1103  2.8188e-15  3.2136e-16  2.9132e-15
1182.5563  -1979.33    0.9447    0.1090  2.7516e-15  3.1760e-16  2.9127e-15
1182.5862  -1971.80    1.1773    0.1214  3.4285e-15  3.5359e-16  2.9122e-15
1182.6161  -1964.27    0.9305    0.1083  2.7093e-15  3.1520e-16  2.9116e-15
1182.6460  -1956.74    0.7776    0.0992  2.2636e-15  2.8880e-16  2.9111e-15
1182.6759  -1949.20    0.9459    0.1091  2.7532e-15  3.1760e-16  2.9106e-15
1182.7058  -1941.67    0.9978    0.1120  2.9037e-15  3.2591e-16  2.9101e-15
1182.7357  -1934.14    1.0015    0.1122  2.9139e-15  3.2641e-16  2.9096e-15
1182.7656  -1926.61    0.9679    0.1103  2.8155e-15  3.2096e-16  2.9090e-15
1182.7955  -1919.07    1.1834    0.1217  3.4419e-15  3.5411e-16  2.9085e-15
1182.8255  -1911.54    0.8898    0.1059  2.5876e-15  3.0804e-16  2.9080e-15
1182.8554  -1904.01    0.9987    0.1121  2.9038e-15  3.2584e-16  2.9075e-15
1182.8853  -1896.48    1.1766    0.1214  3.4205e-15  3.5297e-16  2.9070e-15
1182.9152  -1888.94    1.1105    0.1180  3.2276e-15  3.4298e-16  2.9065e-15
1182.9451  -1881.41    1.0696    0.1159  3.1082e-15  3.3668e-16  2.9060e-15
1182.9750  -1873.88    1.0636    0.1155  3.0904e-15  3.3564e-16  2.9055e-15
1183.0049  -1866.35    0.9606    0.1099  2.7907e-15  3.1934e-16  2.9050e-15
1183.0348  -1858.81    0.8790    0.1053  2.5530e-15  3.0581e-16  2.9045e-15
1183.0647  -1851.28    1.0941    0.1171  3.1773e-15  3.4002e-16  2.9040e-15
1183.0946  -1843.75    0.9470    0.1091  2.7497e-15  3.1671e-16  2.9035e-15
1183.1246  -1836.22    0.9284    0.1080  2.6953e-15  3.1358e-16  2.9030e-15
1183.1545  -1828.68    0.9445    0.1089  2.7413e-15  3.1611e-16  2.9025e-15
1183.1844  -1821.15    1.0398    0.1141  3.0175e-15  3.3120e-16  2.9020e-15
1183.2143  -1813.62    0.8407    0.1029  2.4393e-15  2.9849e-16  2.9015e-15
1183.2442  -1806.09    0.9737    0.1105  2.8249e-15  3.2051e-16  2.9011e-15
1183.2741  -1798.55    1.0105    0.1124  2.9310e-15  3.2615e-16  2.9006e-15
1183.3040  -1791.02    1.1985    0.1222  3.4757e-15  3.5442e-16  2.9001e-15
1183.3339  -1783.49    1.0330    0.1136  2.9952e-15  3.2944e-16  2.8996e-15
1183.3638  -1775.96    0.9677    0.1100  2.8056e-15  3.1899e-16  2.8991e-15
1183.3937  -1768.42    1.0514    0.1145  3.0476e-15  3.3203e-16  2.8986e-15
1183.4237  -1760.89    1.1063    0.1174  3.2062e-15  3.4031e-16  2.8982e-15
1183.4536  -1753.36    1.0728    0.1156  3.1087e-15  3.3510e-16  2.8977e-15
1183.4835  -1745.83    1.0558    0.1147  3.0589e-15  3.3240e-16  2.8972e-15
1183.5134  -1738.29    0.9200    0.1073  2.6650e-15  3.1076e-16  2.8967e-15
1183.5433  -1730.76    1.1484    0.1195  3.3260e-15  3.4620e-16  2.8963e-15
1183.5732  -1723.23    0.9149    0.1070  2.6494e-15  3.0973e-16  2.8958e-15
1183.6031  -1715.70    1.0402    0.1139  3.0117e-15  3.2968e-16  2.8953e-15
1183.6330  -1708.16    0.8490    0.1031  2.4577e-15  2.9845e-16  2.8949e-15
1183.6629  -1700.63    0.8398    0.1025  2.4307e-15  2.9676e-16  2.8944e-15
1183.6928  -1693.10    1.0477    0.1142  3.0319e-15  3.3051e-16  2.8940e-15
1183.7228  -1685.57    0.9518    0.1090  2.7539e-15  3.1527e-16  2.8935e-15
1183.7527  -1678.03    0.9001    0.1060  2.6040e-15  3.0680e-16  2.8930e-15
1183.7826  -1670.50    0.9485    0.1088  2.7437e-15  3.1463e-16  2.8926e-15
1183.8125  -1662.97    0.9413    0.1084  2.7223e-15  3.1347e-16  2.8921e-15
1183.8424  -1655.44    1.0401    0.1138  3.0075e-15  3.2907e-16  2.8917e-15
1183.8723  -1647.90    1.0081    0.1121  2.9146e-15  3.2405e-16  2.8912e-15
1183.9022  -1640.37    1.0786    0.1158  3.1179e-15  3.3483e-16  2.8908e-15
1183.9321  -1632.84    0.9406    0.1083  2.7185e-15  3.1316e-16  2.8903e-15
1183.9620  -1625.31    0.9361    0.1081  2.7052e-15  3.1241e-16  2.8899e-15
1183.9919  -1617.77    0.9392    0.1083  2.7139e-15  3.1281e-16  2.8894e-15
1184.0219  -1610.24    1.0449    0.1140  3.0186e-15  3.2937e-16  2.8890e-15
1184.0518  -1602.71    1.0150    0.1124  2.9319e-15  3.2466e-16  2.8886e-15
1184.0817  -1595.18    0.8621    0.1038  2.4898e-15  2.9988e-16  2.8881e-15
1184.1116  -1587.64    0.9615    0.1095  2.7766e-15  3.1617e-16  2.8877e-15
1184.1415  -1580.11    0.9605    0.1094  2.7732e-15  3.1585e-16  2.8873e-15
1184.1714  -1572.58    1.1656    0.1202  3.3650e-15  3.4706e-16  2.8868e-15
1184.2013  -1565.05    0.9177    0.1070  2.6488e-15  3.0875e-16  2.8864e-15
1184.2312  -1557.51    1.0098    0.1120  2.9142e-15  3.2335e-16  2.8860e-15
1184.2611  -1549.98    0.9986    0.1114  2.8816e-15  3.2151e-16  2.8855e-15
1184.2910  -1542.45    1.0252    0.1129  2.9577e-15  3.2568e-16  2.8851e-15
1184.3210  -1534.92    1.0120    0.1121  2.9193e-15  3.2342e-16  2.8847e-15
1184.3509  -1527.38    1.0400    0.1136  2.9997e-15  3.2768e-16  2.8843e-15
1184.3808  -1519.85    1.0323    0.1132  2.9771e-15  3.2642e-16  2.8839e-15
1184.4107  -1512.32    1.0001    0.1115  2.8836e-15  3.2137e-16  2.8834e-15
1184.4406  -1504.79    1.0759    0.1155  3.1017e-15  3.3297e-16  2.8830e-15
1184.4705  -1497.25    0.9982    0.1114  2.8774e-15  3.2107e-16  2.8826e-15
1184.5004  -1489.72    0.9580    0.1091  2.7611e-15  3.1447e-16  2.8822e-15
1184.5303  -1482.19    0.8485    0.1028  2.4452e-15  2.9638e-16  2.8818e-15
1184.5602  -1474.66    1.0021    0.1115  2.8874e-15  3.2129e-16  2.8814e-15
1184.5901  -1467.12    1.1072    0.1170  3.1898e-15  3.3713e-16  2.8810e-15
1184.6201  -1459.59    0.9877    0.1107  2.8452e-15  3.1886e-16  2.8806e-15
1184.6500  -1452.06    0.7966    0.0997  2.2943e-15  2.8718e-16  2.8802e-15
1184.6799  -1444.53    1.0618    0.1147  3.0577e-15  3.3027e-16  2.8798e-15
1184.7098  -1437.00    0.9866    0.1106  2.8408e-15  3.1845e-16  2.8794e-15
1184.7397  -1429.46    0.9031    0.1059  2.6001e-15  3.0489e-16  2.8790e-15
1184.7696  -1421.93    0.8989    0.1148  2.5876e-15  3.3038e-16  2.8786e-15
1184.7995  -1414.40    1.1843    0.1454  3.4087e-15  4.1855e-16  2.8782e-15
1184.8294  -1406.87    1.0615    0.1571  3.0548e-15  4.5202e-16  2.8778e-15
1184.8593  -1399.33    1.0349    0.1560  2.9779e-15  4.4891e-16  2.8774e-15
1184.8892  -1391.80    0.9746    0.1482  2.8040e-15  4.2627e-16  2.8770e-15
1184.9192  -1384.27    1.0149    0.1517  2.9194e-15  4.3631e-16  2.8766e-15
1184.9491  -1376.74    0.8214    0.1356  2.3626e-15  3.8992e-16  2.8763e-15
1184.9790  -1369.20    1.0613    0.1531  3.0523e-15  4.4034e-16  2.8759e-15
1185.0089  -1361.67    0.8789    0.1457  2.5274e-15  4.1892e-16  2.8755e-15
1185.0388  -1354.14    0.9478    0.1426  2.7250e-15  4.0989e-16  2.8751e-15
1185.0687  -1346.61    1.0492    0.1479  3.0161e-15  4.2532e-16  2.8748e-15
1185.0986  -1339.07    1.1592    0.1601  3.3320e-15  4.6021e-16  2.8744e-15
1185.1285  -1331.54    1.1468    0.1620  3.2960e-15  4.6571e-16  2.8740e-15
1185.1584  -1324.01    0.9684    0.1488  2.7830e-15  4.2757e-16  2.8736e-15
1185.1883  -1316.48    1.2036    0.1644  3.4581e-15  4.7224e-16  2.8733e-15
1185.2183  -1308.94    1.0348    0.1536  2.9728e-15  4.4127e-16  2.8729e-15
1185.2482  -1301.41    0.9009    0.1435  2.5880e-15  4.1212e-16  2.8726e-15
1185.2781  -1293.88    1.1230    0.1567  3.2255e-15  4.5016e-16  2.8722e-15
1185.3080  -1286.35    0.9711    0.1464  2.7888e-15  4.2039e-16  2.8718e-15
1185.3379  -1278.81    1.0377    0.1427  2.9798e-15  4.0965e-16  2.8715e-15
1185.3678  -1271.28    1.0837    0.1231  3.1115e-15  3.5330e-16  2.8711e-15
1185.3977  -1263.75    1.0079    0.1113  2.8935e-15  3.1953e-16  2.8708e-15
1185.4276  -1256.22    0.9355    0.1073  2.6852e-15  3.0804e-16  2.8704e-15
1185.4575  -1248.68    0.8450    0.1021  2.4253e-15  2.9292e-16  2.8701e-15
1185.4874  -1241.15    0.9829    0.1098  2.8205e-15  3.1512e-16  2.8697e-15
1185.5174  -1233.62    1.0424    0.1130  2.9910e-15  3.2430e-16  2.8694e-15
1185.5473  -1226.09    0.9052    0.1055  2.5971e-15  3.0265e-16  2.8690e-15
1185.5772  -1218.55    1.0255    0.1121  2.9419e-15  3.2165e-16  2.8687e-15
1185.6071  -1211.02    1.0097    0.1113  2.8962e-15  3.1914e-16  2.8684e-15
1185.6370  -1203.49    1.0119    0.1113  2.9022e-15  3.1927e-16  2.8680e-15
1185.6669  -1195.96    0.9408    0.1074  2.6978e-15  3.0797e-16  2.8677e-15
1185.6968  -1188.42    0.9071    0.1055  2.6010e-15  3.0248e-16  2.8674e-15
1185.7267  -1180.89    0.8211    0.1005  2.3542e-15  2.8815e-16  2.8670e-15
1185.7566  -1173.36    0.9097    0.1056  2.6078e-15  3.0283e-16  2.8667e-15
1185.7865  -1165.83    1.0210    0.1117  2.9266e-15  3.2016e-16  2.8664e-15
1185.8165  -1158.29    1.1657    0.1192  3.3411e-15  3.4157e-16  2.8661e-15
1185.8464  -1150.76    0.9650    0.1086  2.7654e-15  3.1136e-16  2.8657e-15
1185.8763  -1143.23    1.1142    0.1166  3.1925e-15  3.3399e-16  2.8654e-15
1185.9062  -1135.70    1.0501    0.1132  3.0088e-15  3.2438e-16  2.8651e-15
1185.9361  -1128.16    0.9708    0.1089  2.7811e-15  3.1208e-16  2.8648e-15
1185.9660  -1120.63    1.0370    0.1125  2.9704e-15  3.2223e-16  2.8645e-15
1185.9959  -1113.10    1.0493    0.1131  3.0054e-15  3.2401e-16  2.8642e-15
1186.0258  -1105.57    0.9157    0.1058  2.6225e-15  3.0304e-16  2.8639e-15
1186.0557  -1098.03    1.1009    0.1157  3.1526e-15  3.3142e-16  2.8636e-15
1186.0856  -1090.50    0.9913    0.1099  2.8382e-15  3.1477e-16  2.8633e-15
1186.1156  -1082.97    0.9971    0.1103  2.8547e-15  3.1565e-16  2.8629e-15
1186.1455  -1075.44    0.9174    0.1058  2.6261e-15  3.0295e-16  2.8626e-15
1186.1754  -1067.90    0.9116    0.1055  2.6092e-15  3.0196e-16  2.8624e-15
1186.2053  -1060.37    0.8849    0.1040  2.5328e-15  2.9753e-16  2.8621e-15
1186.2352  -1052.84    0.8883    0.1042  2.5422e-15  2.9807e-16  2.8618e-15
1186.2651  -1045.31    1.1150    0.1164  3.1905e-15  3.3294e-16  2.8615e-15
1186.2950  -1037.77    1.0166    0.1112  2.9087e-15  3.1821e-16  2.8612e-15
1186.3249  -1030.24    0.9280    0.1064  2.6548e-15  3.0429e-16  2.8609e-15
1186.3548  -1022.71    0.9630    0.1083  2.7547e-15  3.0975e-16  2.8606e-15
1186.3847  -1015.18    0.8046    0.0992  2.3013e-15  2.8372e-16  2.8603e-15
1186.4147  -1007.64    0.8101    0.0995  2.3168e-15  2.8462e-16  2.8601e-15
1186.4446  -1000.11    1.0461    0.1127  2.9917e-15  3.2238e-16  2.8598e-15
1186.4745   -992.58    0.9499    0.1076  2.7162e-15  3.0757e-16  2.8595e-15
1186.5044   -985.05    1.0399    0.1124  2.9734e-15  3.2135e-16  2.8592e-15
1186.5343   -977.51    1.0437    0.1126  2.9839e-15  3.2185e-16  2.8590e-15
1186.5642   -969.98    1.0599    0.1134  3.0299e-15  3.2415e-16  2.8587e-15
1186.5941   -962.45    1.0310    0.1119  2.9469e-15  3.1979e-16  2.8584e-15
1186.6240   -954.92    0.9466    0.1073  2.7054e-15  3.0668e-16  2.8582e-15
1186.6539   -947.38    0.9753    0.1089  2.7874e-15  3.1110e-16  2.8579e-15
