xR,f_HI,f_HI_siglow,f_HI_sighi,M_HI,M_HI_siglow,M_HI_sighi,f_CII,f_CII_siglow,f_CII_sighi,M_CII,M_CII_siglow,M_CII_sighi,f_CIV,f_CIV_siglow,f_CIV_sighi,M_CIV,M_CIV_siglow,M_CIV_sighi,f_SiII,f_SiII_siglow,f_SiII_sighi,M_SiII,M_SiII_siglow,M_SiII_sighi,f_SiIII,f_SiIII_siglow,f_SiIII_sighi,M_SiIII,M_SiIII_siglow,M_SiIII_sighi,f_SiIV,f_SiIV_siglow,f_SiIV_sighi,M_SiIV,M_SiIV_siglow,M_SiIV_sighi
0.24502329012002047,0.5285714285714286,-0.15000000000000002,0.1399999999999999,27649.02,-13017.63,24720.24,0.25285714285714284,-0.06857142857142856,0.0828571428571428,8790.66,-2541.75,3425.71,0.30999999999999994,-0.06428571428571425,0.07571428571428573,6866.85,-1408.86,1737.96,0.16,-0.03,0.0357142857142857,1161.25,-168.41,185.78,0.36,-0.07,0.07999999999999996,1984.41,-377.33,465.25,0.20857142857142855,-0.057142857142857134,0.07428571428571426,1612.66,-359.7,469.03
0.2510304965907379,0.54,-0.15000000000000008,0.14,28254.78,-13213.95,24975.88,0.2614285714285714,-0.06999999999999998,0.08428571428571424,9097.33,-2610.42,3499.17,0.32,-0.06571428571428573,0.07714285714285712,7078.53,-1442.97,1781.63,0.16714285714285712,-0.02999999999999997,0.037142857142857144,1209.61,-173.78,191.14,0.37,-0.07,0.08000000000000002,2040.0,-383.91,474.34,0.2157142857142857,-0.05857142857142855,0.07571428571428573,1673.26,-373.01,482.98
0.2571849810184372,0.55,-0.15000000000000002,0.13857142857142857,28844.1,-13396.26,25263.69,0.27,-0.07142857142857148,0.08571428571428569,9406.6,-2678.17,3560.88,0.33,-0.06714285714285717,0.07857142857142857,7294.31,-1475.31,1810.88,0.17428571428571427,-0.02999999999999997,0.03857142857142859,1258.97,-178.76,195.63,0.38,-0.07000000000000006,0.07999999999999996,2096.56,-392.03,482.44,0.22428571428571425,-0.06,0.07714285714285718,1734.93,-384.17,498.13
0.2634903541990378,0.5614285714285714,-0.15000000000000002,0.13714285714285723,29445.56,-13605.06,25496.41,0.27999999999999997,-0.07285714285714284,0.08714285714285719,9719.03,-2744.1,3638.83,0.33999999999999997,-0.06857142857142856,0.08000000000000002,7510.38,-1507.47,1847.66,0.18142857142857144,-0.031428571428571445,0.03999999999999998,1309.64,-183.86,201.03,0.38999999999999996,-0.07142857142857145,0.08000000000000002,2152.86,-400.21,493.25,0.23285714285714282,-0.05999999999999997,0.07857142857142857,1798.99,-397.13,509.17
0.26995031545390785,0.5728571428571427,-0.1499999999999999,0.1357142857142859,30019.56,-13772.55,25770.72,0.29,-0.07428571428571429,0.08857142857142858,10034.84,-2810.13,3715.11,0.35,-0.07,0.08000000000000002,7726.94,-1539.31,1877.75,0.18857142857142858,-0.03285714285714289,0.03999999999999995,1361.29,-189.21,205.8,0.4,-0.0728571428571429,0.07999999999999996,2210.45,-407.65,501.98,0.2414285714285714,-0.06142857142857139,0.07999999999999993,1864.33,-410.51,523.4
0.2765686548002312,0.5842857142857142,-0.14999999999999997,0.13428571428571434,30569.96,-13949.69,25986.31,0.3,-0.07571428571428573,0.08999999999999997,10353.6,-2884.47,3797.78,0.36,-0.07,0.07999999999999996,7943.02,-1567.09,1908.44,0.1957142857142857,-0.03428571428571428,0.04000000000000001,1414.28,-194.71,211.68,0.41,-0.07428571428571429,0.08000000000000002,2267.07,-416.46,509.79,0.25,-0.06285714285714286,0.08000000000000002,1930.7,-425.29,538.34
0.2833492551745864,0.5957142857142856,-0.15000000000000002,0.13285714285714278,31140.74,-14131.13,26221.46,0.30999999999999994,-0.07714285714285707,0.09000000000000008,10680.32,-2957.37,3873.71,0.37,-0.07,0.08000000000000002,8159.02,-1596.27,1944.92,0.20428571428571426,-0.035714285714285726,0.03999999999999998,1468.12,-199.28,216.89,0.42,-0.07571428571428568,0.08000000000000002,2324.02,-425.56,516.04,0.25857142857142856,-0.06428571428571428,0.08000000000000002,1997.44,-441.1,552.54
0.29029609471104023,0.6071428571428571,-0.15000000000000002,0.13142857142857134,31686.18,-14280.08,26434.7,0.32,-0.0785714285714286,0.09000000000000002,11008.22,-3029.24,3953.72,0.38,-0.07000000000000006,0.07999999999999996,8379.6,-1625.64,1984.31,0.21285714285714286,-0.037142857142857144,0.03999999999999998,1523.89,-204.81,222.18,0.43,-0.07714285714285724,0.08000000000000002,2381.16,-433.75,523.88,0.2671428571428571,-0.06571428571428573,0.08142857142857146,2066.23,-456.34,566.81
0.29741324907509264,0.6185714285714285,-0.15000000000000002,0.13,32255.64,-14448.23,26599.71,0.33,-0.08000000000000002,0.08999999999999997,11341.55,-3101.03,4029.71,0.38999999999999996,-0.07,0.08000000000000002,8600.51,-1656.53,2017.74,0.21999999999999997,-0.038571428571428534,0.03999999999999998,1580.85,-209.67,227.11,0.43999999999999995,-0.07857142857142851,0.07999999999999996,2438.18,-439.21,532.51,0.27571428571428575,-0.06714285714285717,0.08285714285714285,2135.28,-470.25,583.39
0.30470489385484345,0.63,-0.15000000000000002,0.12857142857142856,32813.45,-14604.6,26804.33,0.33999999999999997,-0.07999999999999996,0.09000000000000002,11670.46,-3165.33,4122.6,0.4,-0.07,0.07999999999999996,8823.67,-1686.75,2058.08,0.22714285714285715,-0.04000000000000001,0.03999999999999998,1639.48,-216.1,231.86,0.4514285714285714,-0.08000000000000002,0.08000000000000007,2496.42,-447.72,541.16,0.28428571428571425,-0.06857142857142853,0.08428571428571435,2205.72,-483.8,600.65
0.31217530701078255,0.64,-0.15000000000000002,0.1271428571428571,33326.04,-14710.15,26950.82,0.35,-0.08000000000000002,0.08999999999999997,12006.27,-3229.37,4197.65,0.41,-0.07,0.08000000000000002,9044.66,-1712.63,2100.96,0.2357142857142857,-0.040000000000000036,0.03999999999999998,1698.52,-220.06,238.28,0.46285714285714286,-0.08000000000000002,0.07999999999999996,2554.79,-457.28,550.43,0.29285714285714287,-0.07,0.08571428571428569,2277.13,-500.31,617.25
0.3198288713856417,0.6499999999999999,-0.1499999999999999,0.12571428571428578,33882.68,-14886.78,27057.42,0.36,-0.08000000000000002,0.09142857142857141,12350.07,-3298.45,4302.35,0.42,-0.07,0.08000000000000002,9271.62,-1741.9,2137.32,0.24428571428571424,-0.03999999999999998,0.041428571428571453,1759.66,-225.89,244.13,0.4742857142857142,-0.07999999999999996,0.08000000000000007,2611.65,-463.57,559.43,0.30142857142857143,-0.07,0.08714285714285713,2352.9,-518.44,633.29
0.32767007727577974,0.6585714285714286,-0.15000000000000002,0.12428571428571433,34429.05,-15036.44,27240.8,0.37,-0.08000000000000002,0.09285714285714286,12702.48,-3375.24,4389.09,0.43,-0.07,0.08000000000000002,9502.34,-1771.1,2172.65,0.25285714285714284,-0.04000000000000001,0.042857142857142816,1822.42,-231.59,250.63,0.48571428571428565,-0.07999999999999996,0.08000000000000007,2669.46,-471.63,567.34,0.30999999999999994,-0.06999999999999998,0.08857142857142863,2429.12,-537.48,651.58
0.3357035250656098,0.667142857142857,-0.1499999999999999,0.122857142857143,34953.85,-15151.99,27391.92,0.38,-0.08142857142857146,0.0942857142857142,13067.33,-3447.0,4460.43,0.43999999999999995,-0.06999999999999995,0.07999999999999996,9734.24,-1806.07,2206.19,0.2614285714285714,-0.04000000000000001,0.04428571428571426,1887.32,-237.5,255.95,0.4971428571428571,-0.08000000000000002,0.07999999999999996,2727.3,-480.24,578.73,0.32,-0.07,0.09000000000000002,2506.68,-555.92,670.77
0.34393392792661526,0.6757142857142857,-0.15000000000000002,0.12142857142857133,35449.08,-15275.76,27620.1,0.38999999999999996,-0.0828571428571428,0.0957142857142857,13426.25,-3519.52,4554.26,0.44999999999999996,-0.07,0.08000000000000007,9965.83,-1840.14,2241.97,0.27,-0.040000000000000036,0.04571428571428565,1953.02,-242.96,261.83,0.5085714285714286,-0.08000000000000002,0.07999999999999996,2784.81,-487.08,588.36,0.33,-0.07142857142857145,0.08999999999999997,2583.5,-572.15,691.2
0.35236611458253686,0.6842857142857143,-0.14857142857142858,0.11857142857142844,35945.84,-15372.65,27769.31,0.4,-0.08428571428571435,0.09714285714285709,13796.23,-3607.98,4625.14,0.4614285714285714,-0.07,0.07999999999999996,10202.8,-1874.96,2275.16,0.27999999999999997,-0.04000000000000001,0.04714285714285715,2020.26,-248.76,267.91,0.52,-0.08000000000000007,0.07999999999999985,2845.69,-497.9,594.26,0.33999999999999997,-0.07285714285714284,0.09000000000000002,2663.67,-590.75,710.47
0.361005032142353,0.6928571428571428,-0.14714285714285713,0.1171428571428571,36460.56,-15509.71,27801.53,0.41,-0.08571428571428574,0.09857142857142859,14171.35,-3675.72,4698.07,0.47285714285714275,-0.0699999999999999,0.08000000000000007,10437.43,-1899.82,2311.07,0.29,-0.04000000000000001,0.04857142857142854,2089.75,-255.56,273.0,0.53,-0.08000000000000002,0.07999999999999996,2905.02,-506.04,604.92,0.35,-0.07428571428571429,0.08999999999999997,2745.4,-608.85,727.04
0.369855749002717,0.7014285714285714,-0.1457142857142858,0.11571428571428566,36964.91,-15617.16,27967.52,0.42,-0.08714285714285713,0.10000000000000003,14552.62,-3755.15,4773.52,0.4842857142857142,-0.06999999999999995,0.08000000000000007,10680.31,-1939.47,2338.29,0.3,-0.03999999999999998,0.04999999999999999,2160.14,-261.41,278.44,0.54,-0.08000000000000007,0.07999999999999996,2965.41,-516.06,612.57,0.36,-0.07571428571428573,0.08999999999999997,2828.17,-629.26,746.08
0.3789234578215516,0.71,-0.14428571428571424,0.11428571428571421,37452.5,-15686.93,28039.09,0.43,-0.08857142857142858,0.09857142857142859,14933.31,-3825.22,4852.25,0.49571428571428566,-0.06999999999999995,0.07999999999999996,10917.7,-1966.86,2374.77,0.30999999999999994,-0.039999999999999925,0.050000000000000044,2232.6,-267.68,285.39,0.55,-0.08000000000000007,0.07999999999999996,3026.85,-527.15,619.45,0.3714285714285714,-0.07714285714285712,0.09000000000000002,2910.86,-646.41,770.61
0.3882134785645482,0.7199999999999999,-0.1428571428571428,0.11142857142857154,37952.82,-15812.65,28150.87,0.43999999999999995,-0.08999999999999997,0.0971428571428572,15324.88,-3903.91,4946.92,0.5071428571428571,-0.06999999999999995,0.07999999999999996,11163.61,-2011.37,2414.72,0.32,-0.041428571428571426,0.04999999999999999,2306.88,-274.24,292.0,0.5599999999999999,-0.07999999999999996,0.07999999999999996,3085.86,-536.89,629.68,0.38285714285714284,-0.07857142857142863,0.08999999999999991,2997.46,-666.47,791.31
