#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.274e+01 1.182e+01 1.330e+01 1.305e+01 1.358e+01 1.316e+01 1.390e+01 1.368e+01 1.404e+01 1.377e+01 1.426e+01 1.409e+01 
 0.15 1.230e+01 1.147e+01 1.286e+01 1.265e+01 1.331e+01 1.264e+01 1.364e+01 1.339e+01 1.377e+01 1.351e+01 1.404e+01 1.383e+01 
 0.25 1.189e+01 1.097e+01 1.246e+01 1.229e+01 1.297e+01 1.219e+01 1.338e+01 1.312e+01 1.353e+01 1.318e+01 1.384e+01 1.361e+01 
 0.35 1.160e+01 1.075e+01 1.228e+01 1.209e+01 1.273e+01 1.196e+01 1.310e+01 1.289e+01 1.331e+01 1.298e+01 1.358e+01 1.337e+01 
 0.45 1.133e+01 1.054e+01 1.201e+01 1.194e+01 1.243e+01 1.172e+01 1.292e+01 1.267e+01 1.305e+01 1.273e+01 1.342e+01 1.318e+01 
 0.55 1.113e+01 1.023e+01 1.178e+01 1.192e+01 1.219e+01 1.152e+01 1.275e+01 1.251e+01 1.286e+01 1.250e+01 1.324e+01 1.300e+01 
 0.65 1.094e+01 1.012e+01 1.169e+01 1.190e+01 1.198e+01 1.129e+01 1.260e+01 1.235e+01 1.267e+01 1.228e+01 1.312e+01 1.284e+01 
 0.75 1.085e+01 9.990e+00 1.160e+01 1.178e+01 1.184e+01 1.112e+01 1.248e+01 1.221e+01 1.251e+01 1.211e+01 1.298e+01 1.270e+01 
 0.85 1.057e+01 9.804e+00 1.146e+01 1.178e+01 1.163e+01 1.090e+01 1.227e+01 1.205e+01 1.230e+01 1.193e+01 1.283e+01 1.256e+01 
 0.95 1.052e+01 9.662e+00 1.136e+01 1.179e+01 1.159e+01 1.090e+01 1.222e+01 1.205e+01 1.214e+01 1.181e+01 1.270e+01 1.243e+01 
 1.05 1.046e+01 9.499e+00 1.140e+01 1.185e+01 1.145e+01 1.080e+01 1.216e+01 1.195e+01 1.198e+01 1.168e+01 1.262e+01 1.232e+01 
 1.15 1.036e+01 9.445e+00 1.134e+01 1.173e+01 1.131e+01 1.072e+01 1.204e+01 1.194e+01 1.183e+01 1.154e+01 1.252e+01 1.223e+01 
 1.25 1.025e+01 9.380e+00 1.129e+01 1.170e+01 1.122e+01 1.059e+01 1.191e+01 1.185e+01 1.164e+01 1.131e+01 1.239e+01 1.214e+01 
 1.35 1.019e+01 9.365e+00 1.137e+01 1.182e+01 1.119e+01 1.059e+01 1.186e+01 1.187e+01 1.154e+01 1.117e+01 1.235e+01 1.211e+01 
 1.45 1.018e+01 9.327e+00 1.119e+01 1.159e+01 1.108e+01 1.048e+01 1.177e+01 1.187e+01 1.139e+01 1.104e+01 1.220e+01 1.205e+01 
 1.55 1.003e+01 9.220e+00 1.129e+01 1.179e+01 1.102e+01 1.050e+01 1.173e+01 1.192e+01 1.121e+01 1.090e+01 1.201e+01 1.186e+01 
 1.65 1.009e+01 9.305e+00 1.122e+01 1.167e+01 1.094e+01 1.040e+01 1.169e+01 1.184e+01 1.108e+01 1.082e+01 1.190e+01 1.181e+01 
 1.75 9.900e+00 9.110e+00 1.124e+01 1.178e+01 1.094e+01 1.033e+01 1.166e+01 1.185e+01 1.093e+01 1.064e+01 1.196e+01 1.186e+01 
 1.85 1.005e+01 9.091e+00 1.128e+01 1.163e+01 1.081e+01 1.024e+01 1.165e+01 1.186e+01 1.086e+01 1.065e+01 1.209e+01 1.205e+01 
 1.95 9.935e+00 8.979e+00 1.118e+01 1.177e+01 1.082e+01 1.015e+01 1.167e+01 1.184e+01 1.080e+01 1.039e+01 1.230e+01 1.224e+01 
