#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.138e+01 9.681e+00 1.254e+01 1.222e+01 1.301e+01 1.225e+01 1.329e+01 1.308e+01 1.356e+01 1.327e+01 1.380e+01 1.362e+01 
 0.15 9.750e+00 8.253e+00 1.116e+01 1.119e+01 1.196e+01 1.058e+01 1.263e+01 1.228e+01 1.296e+01 1.242e+01 1.329e+01 1.304e+01 
 0.25 8.335e+00 0.000e+00 9.820e+00 9.838e+00 1.100e+01 9.444e+00 1.185e+01 1.152e+01 1.221e+01 1.155e+01 1.276e+01 1.246e+01 
 0.35 7.180e+00 0.000e+00 9.279e+00 9.679e+00 1.021e+01 8.810e+00 1.115e+01 1.080e+01 1.156e+01 1.067e+01 1.229e+01 1.200e+01 
 0.45 1.430e+00 0.000e+00 8.670e+00 9.750e+00 9.585e+00 7.820e+00 1.054e+01 1.032e+01 1.089e+01 9.941e+00 1.189e+01 1.163e+01 
 0.55 0.000e+00 0.000e+00 8.198e+00 1.017e+01 8.860e+00 2.334e+00 1.011e+01 1.024e+01 1.025e+01 9.130e+00 1.143e+01 1.125e+01 
 0.65 0.000e+00 0.000e+00 7.708e+00 1.009e+01 8.155e+00 0.000e+00 9.748e+00 1.008e+01 9.910e+00 8.266e+00 1.102e+01 1.105e+01 
 0.75 0.000e+00 0.000e+00 7.614e+00 1.018e+01 7.750e+00 0.000e+00 9.322e+00 9.950e+00 9.310e+00 7.680e+00 1.075e+01 1.072e+01 
 0.85 0.000e+00 0.000e+00 7.466e+00 9.883e+00 6.460e+00 0.000e+00 8.690e+00 1.001e+01 8.815e+00 7.040e+00 1.044e+01 1.063e+01 
 0.95 0.000e+00 0.000e+00 6.587e+00 1.034e+01 7.130e+00 0.000e+00 8.579e+00 1.028e+01 8.260e+00 0.000e+00 1.028e+01 1.047e+01 
 1.05 0.000e+00 0.000e+00 7.400e+00 1.002e+01 6.865e+00 0.000e+00 8.585e+00 1.010e+01 7.830e+00 0.000e+00 9.906e+00 1.039e+01 
 1.15 0.000e+00 0.000e+00 5.666e+00 9.864e+00 5.220e+00 0.000e+00 8.463e+00 1.027e+01 7.110e+00 0.000e+00 9.890e+00 1.051e+01 
 1.25 0.000e+00 0.000e+00 5.864e+00 1.009e+01 0.000e+00 0.000e+00 8.113e+00 1.001e+01 6.400e+00 0.000e+00 9.476e+00 1.068e+01 
 1.35 0.000e+00 0.000e+00 6.297e+00 1.032e+01 0.000e+00 0.000e+00 8.173e+00 1.015e+01 6.330e+00 0.000e+00 9.387e+00 1.074e+01 
 1.45 0.000e+00 0.000e+00 5.032e+00 1.000e+01 0.000e+00 0.000e+00 8.002e+00 1.038e+01 5.080e+00 0.000e+00 8.733e+00 1.057e+01 
 1.55 0.000e+00 0.000e+00 6.560e+00 1.027e+01 0.000e+00 0.000e+00 8.022e+00 1.065e+01 0.000e+00 0.000e+00 8.030e+00 9.656e+00 
 1.65 0.000e+00 0.000e+00 6.434e+00 1.015e+01 0.000e+00 0.000e+00 7.992e+00 1.043e+01 0.000e+00 0.000e+00 7.870e+00 9.277e+00 
 1.75 0.000e+00 0.000e+00 7.036e+00 1.033e+01 0.000e+00 0.000e+00 8.002e+00 1.063e+01 0.000e+00 0.000e+00 7.852e+00 9.579e+00 
 1.85 0.000e+00 0.000e+00 6.829e+00 1.015e+01 0.000e+00 0.000e+00 8.223e+00 1.083e+01 0.000e+00 0.000e+00 7.860e+00 1.007e+01 
 1.95 0.000e+00 0.000e+00 6.274e+00 1.035e+01 0.000e+00 0.000e+00 8.639e+00 1.053e+01 0.000e+00 0.000e+00 8.951e+00 1.043e+01 
