#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.203e+01 0.000e+00 1.389e+01 1.370e+01 1.406e+01 1.194e+01 1.515e+01 1.480e+01 1.529e+01 1.396e+01 1.597e+01 1.561e+01 
 0.15 7.960e+00 0.000e+00 1.026e+01 1.069e+01 1.084e+01 8.942e+00 1.228e+01 1.252e+01 1.299e+01 1.158e+01 1.429e+01 1.406e+01 
 0.25 0.000e+00 0.000e+00 6.670e+00 7.978e+00 9.160e+00 4.756e+00 1.058e+01 1.065e+01 1.129e+01 1.005e+01 1.250e+01 1.230e+01 
 0.35 0.000e+00 0.000e+00 0.000e+00 7.914e+00 7.740e+00 0.000e+00 9.460e+00 9.614e+00 1.024e+01 8.900e+00 1.141e+01 1.144e+01 
 0.45 0.000e+00 0.000e+00 0.000e+00 8.123e+00 0.000e+00 0.000e+00 8.585e+00 9.516e+00 9.020e+00 7.561e+00 1.079e+01 1.064e+01 
 0.55 0.000e+00 0.000e+00 0.000e+00 8.614e+00 0.000e+00 0.000e+00 7.378e+00 1.087e+01 7.800e+00 0.000e+00 1.022e+01 1.117e+01 
 0.65 0.000e+00 0.000e+00 0.000e+00 8.939e+00 0.000e+00 0.000e+00 0.000e+00 1.004e+01 3.510e+00 0.000e+00 9.654e+00 1.060e+01 
 0.75 0.000e+00 0.000e+00 0.000e+00 9.507e+00 0.000e+00 0.000e+00 0.000e+00 8.520e+00 0.000e+00 0.000e+00 9.128e+00 1.047e+01 
 0.85 0.000e+00 0.000e+00 0.000e+00 9.182e+00 0.000e+00 0.000e+00 0.000e+00 9.805e+00 0.000e+00 0.000e+00 8.662e+00 1.091e+01 
 0.95 0.000e+00 0.000e+00 0.000e+00 1.001e+01 0.000e+00 0.000e+00 0.000e+00 1.059e+01 0.000e+00 0.000e+00 8.570e+00 1.185e+01 
 1.05 0.000e+00 0.000e+00 0.000e+00 8.954e+00 0.000e+00 0.000e+00 0.000e+00 1.043e+01 0.000e+00 0.000e+00 7.696e+00 1.174e+01 
 1.15 0.000e+00 0.000e+00 0.000e+00 9.685e+00 0.000e+00 0.000e+00 0.000e+00 9.803e+00 0.000e+00 0.000e+00 7.310e+00 1.158e+01 
 1.25 0.000e+00 0.000e+00 0.000e+00 1.006e+01 0.000e+00 0.000e+00 0.000e+00 8.872e+00 0.000e+00 0.000e+00 6.900e+00 1.161e+01 
 1.35 0.000e+00 0.000e+00 0.000e+00 9.610e+00 0.000e+00 0.000e+00 0.000e+00 9.572e+00 0.000e+00 0.000e+00 6.021e+00 1.232e+01 
 1.45 0.000e+00 0.000e+00 0.000e+00 1.002e+01 0.000e+00 0.000e+00 0.000e+00 1.093e+01 0.000e+00 0.000e+00 4.308e+00 1.150e+01 
 1.55 0.000e+00 0.000e+00 0.000e+00 1.034e+01 0.000e+00 0.000e+00 0.000e+00 1.124e+01 0.000e+00 0.000e+00 0.000e+00 9.903e+00 
 1.65 0.000e+00 0.000e+00 0.000e+00 9.333e+00 0.000e+00 0.000e+00 0.000e+00 1.092e+01 0.000e+00 0.000e+00 0.000e+00 1.104e+01 
 1.75 0.000e+00 0.000e+00 0.000e+00 9.754e+00 0.000e+00 0.000e+00 0.000e+00 1.166e+01 0.000e+00 0.000e+00 0.000e+00 1.090e+01 
 1.85 0.000e+00 0.000e+00 0.000e+00 1.003e+01 0.000e+00 0.000e+00 0.000e+00 1.249e+01 0.000e+00 0.000e+00 0.000e+00 9.256e+00 
 1.95 0.000e+00 0.000e+00 0.000e+00 1.031e+01 0.000e+00 0.000e+00 0.000e+00 1.196e+01 0.000e+00 0.000e+00 0.000e+00 9.047e+00 
